Romae_1607	Valencia_BH_Ms_0594	BNF_Lat_1234	Planck	Bevilaqua_1498	BNE_9236	Geneve_Ms_Lat_92	BNF_Lat_6477
Ostenso,  quod nec in potentiis naturalibus,  nec in sensibus habent esse virtutes:  restat ostendere,  quomodo distinguuntur virtutes,  et quomodo in appetitu et intellectu existunt. Distinguendum est igitur de virtutibus, 	steanso  quem nec in potetu.tiis naturalibus.  nec in sensibus hocnt esse uirtutes restat ostendere quomodo distinguntur uirtutes  et quomodo in intllectu et appetitu existunt distinguendum enim ergo de uirtutibus 	in potenciis nailibus  nec insensibus habent esse uirtutes.  Restat ostendere quon distinguntur uirtutes  et quon in intllecu  et appetitu existunt.  distinguendum enim gͦ de uͥtutibus 	Stenso ꝙ  nec in potentiis naturalibus  nec in sensibus habent esse uirtutes. Restat ostendere.  quomodo dĩstingiintur  tirtutes:⁊  quomodo in appetitu⁊ intellectu existunt. Distinguendum est igit᷑ de rirtutibus ⁊ 	STENSO ꝙ  nec in potẽtus naturalibus  nec in sensibus hñt esse uirtutes.  Restat oñdere quomo' do distinguunt᷑ uirtutes:  &  quomodo in appetitu& ĩ intellectu  existũt.Distinguenduest igit de uirturibus & 	stenso quem nec in poᷤ nͣlibus et  appetitu.nec in sensibus habent esse uirtutes.  Re-stat ostendere quno distiguntur iltutes 	odtenso  quem nec in potenciis naturalibus  nec in sensibzhabent esse uirtutes.  Restat ostendere  quo modo distinguntur uirtutes  et quomodo in intellectu et appetitu sexistunt.  ¶ Distinguendun est de uirtutibus 	Stenso q nͦ in potencus naturalibus n᷑ insensibus habent cem uirtutes.  restat ostendere quo distinguntur uirtutes.  et quon in intlłu  et appetitu existumt. Distinguendum enim gͦ der untutibus 
et de huiusmodi potentiis:  nam virtutum quaedam sunt intellectuales,  quaedam morales,  quaedam mediae inter intellectuales et morales. Virtutes intellectuales dicuntur illae quae sunt in intellectu speculatiuo,  cuiusmodi sunt scientiae speculatiuae,  ut naturalis Philosophia,  Geometria, Metaphysica,  et caetera talia.  Virtutes vero simpliciter morales sunt illae,  quae sunt in appetitu,  siue appetitus ille sit sensitiuus,  siue intellectiuus,  cuiusmodi sunt Iustitia,  Temperantia, Fortitudo,  Mansuetudo,  et caetera talia,  de quibus sumus singulariter tractaturi. Virtutes autem mediae inter intellectuales et morales,  sunt virtutes existentes in intellectu practico,  ut Prudentia,  et aliae virtutes sibi annexae. Prudentia autem,  secundum Commentatorem super libris Ethicorum,  media est inter virtutes morales,  et intellectuales; computari tamen potest cum virtutibus moralibus:  nam Prudentia non est nisi in hominibus bonis,  sicut nec virtutes morales: praui enim homines 	et hin potenciis.  Nam uirtutum quedam s̾ inontllectuałsquedam morales quedam m̃die inter millectuales  et morales. Uirtutes mellectuales dicuterille que sunt in itllectu spculatiuo.  eius scientie sunt speculatiue  ut naturalis philo sophia. geometria methaphisica etet  c̃.talia uirtutes uero sinplicit̃ morales.  sunt ille que sunt in appetitu.  siue appetitus ille sit sensitiuus.  sine intlłetiuus.  cuius modi autem surituusticia.  temperancia.  fortitudomansuetudo  et cetera talia.  de quibus simus singulariter tractatimr Toirtutes autem medie inter intłlectuałs et morales. Sunt uirtutes existentes in intlsctu practico.  et pridentia et alie uirtutes. igitur annexe. Prudentia  secundum conmentatorem. Supͣlibrum ethicorum media e̾ inter untutes morales  et intellectuales computari tam̃ pocest cum nurtutibus moralibu.  Nam prudentia non in enim nisi hominibus bonis.  Sicut nec uirtutes morales. praui enin homines 	et de hius potenciis.  Nam uͥ tutum quedam sunt intllt̃uales.  que dam morales.  quedam  medie inter intellectuales  et moralessuirtutes intellectuales dnonr inlle que st̃ inintellectu speculatiuo  cuius modi st̃ sciue speculatiue uͭ naturalis ph̃ia geometͥa mechaphocica  et cetera talia.  uirtutes uero simpliter morales  st̃ ille que sin appetitu  siue appetitus ille sit sensitiuus siue intellectiuus.  cuiusmodi autem st̃ uisticiatenperantia fortiᵈ ͦ mansue ᵈ ͦ  et ceta talia  de quibus sumus singłariter tractaturs  ututes autem medie inter intenllectuales  et morales  st̃ ututes exnontes in intellectu  ut p̾tencia  et alieuirtutes sibͥ amuxte. p̾dencia anscd̃m ꝯuicatorem  super libꝵ echoc.  media est  inter uirtutes morales  et intellectuales. computari tnon potest  cum ututibus moralibus Nam prudencia non mest non honinbus bonis sicut nec uirtutes morales pͣui .ii. honies 	de huiusmodi potentiis:  namuirtutum  quedam sunt intellectuales:  quedaz morales:  quedam medie icirer iitellectuales ⁊morales. Cututes ĩtellectuales dicuneur ille que sunt in intellectu. speculariuo euiusmodisunt scientie speculatiue:  ut naturalis philosophia geometria:  methaphisica ⁊  cetera talia:  Uirtutes pero simpliciter morales sunt ille:  q̃sunt in appetitu siue appetitus ille sit sensitiuus:  siue intellectinus:  cuiusmodi autem sunt iusticia remperantia:  fortitudo:  mansuetudo.  ⁊cetera talia de quibus sumꝰ singulariter traetaruri. Uirtutes autem medie inter inrellectudles ⁊ morales sunt uirtutes cristentes in iitellectu practico  ut prudentia ⁊ alie mirtutes sibl annexe.  Prudentia autem sed̾m cõmentatorem  super libris ethicorum  media est  inter uirtutes morales ⁊ intellectuales:  computaritamen potest cum uirtutibus moralibus:  naz prudentia non est nisi in hominibus bonis:  sicut nec uirtutes morales:  praui enim homines 	de hmõi  potẽtiis:nãuirtutũ quaedam sunt intellectuales:  quaedãmotales:  quadã mediae inter intellectuales &  motales.Uictutes ĩtellectuales dicunt᷑ illae quae sunt in intellectu speculatiuo  cuĩusmõĩsunt  lciẽtiae speculatiuaeiut naturalis philosophia geometeia:  methaphisica & catera  ta'lia.Uirtutes uero simpliciter morales sũt illae q̃ sũt in appetitu siue appetitus ille sit sensi'tiuus :  siue intellectiuus: cuiusmõĩ autẽ sunt ĩustitia  temperantia:fortitudormãsuetudo.  & catera talia de quibꝰ sumꝰ singularĩter  tractaturi.Uirtutes autẽ media ĩter intellectuales & morales sunt uictut es existentes in in. tellectu practico  ut prudẽtia &  alia uirtutes  sibi  annexa.Prudentia autem ẜm cõmenta torem super libris ethicorom media est  ĩter uirtutes morales & intellectuales :  cõputaritamẽ potest  cum uirtutibus moralibus :  nã prudentia nõ est nisi in honoribus bonis:  sicot nec uirtutes morales: prauĩ.n.homines & 	et qͦmodo in incllcum  et appetitu existumt.  Distinguendum enim gͦ de uirtutibus  et de hius poͫ. Nanuirtutum  quedam sunt intellectumales quedam morales quedam medie inter intllcunales  et morales uirtutes intellectumales dunr illeque sunt in intllcum specłatiuo.  cuius modisc̃ie sunt speclatiue  ut nͣlem ph̾ia. geo. metͥ. metha etceteratalia.  uirtutes uo simpͥ morales sunt ille que sunt in appetitu. sun appetitus ile sit sensiters sum intellectiuus.cuimoin a sunt sticia tem panͣ. fortitudo.mansuetudo acetam talia  de quibus sumussinglr̃ tͣctaturi. uirtutes a medie inter in allcunales etmorales sunt uirtutes exnontesᷤ in mallcum pͣctico  ut pͥdentia talie uirtutes sͥ aunexe pͣdeucia as ẜ commentatorem super lib etb.  media enim inter uirtutes moraleset intllcunales computari tum potest cum uirtutibus moralibus.  Nam prudentia non mem  nisi hominibus bouis sic̾ nec uirtutes morales. pͣui .n. homiues 	et hiis potenciis Namuirtutum qued sunt intellectuales qued morales  et queder medie inter morales  et intellectuales. Intellectuales dicuntur ille que sunt in intellectu speculatiuo cinusmodi sunt  sciue speculatiue  ut na-turalis phina arismetica geometria  et talia uir tutes uero simp liiter morales sunt ille que sunt in appetitu  siue appetitus ille fit sensitimis siue intellectiuus Cimismodi iustida temperantia fortitudo mansuetudo  et cettera taliade quibus sumus singulariter trattaturi.  Uirtutes uero medie inter intellectuales et morales sunt uirtutes exi-stentes in intellectu practicout prudentia  et alie uirtutes  sibi amnex e Prudencia emm ss conmentatorem superlibrum ethitorum est media  inter uirtu-tes morales  et intellettuales  tamen potest comparari  cum uirtutibus moralibus Nam prudencia  non dnest  nisi homibus boms sicut nec uirtutesmora les sdram enimi honnens 	et de huius  potencus.Nam uirtutum quedam sunt intllectuales.  quedam  mo̾ales.quedam medie intllectuales  et morales. uirtutesᷤintllectuales diꝯtur ille que sunt in intlłu specłatiuo.cuius sciue sunt specłatiue.  ut naturalem phocia.geometͥͥa.methͣ. etcetera talia. untutes uero sunpͣ morales sunt ille que sunt in appetitu.  siun appetit᷒ ille sit sensitium siue intłlectium cium ant sunt iustina. teperantia. fortitudo. mansuetudo.  et c̃ talia der qbus sumussingliter tͣctaturi. uirtutes a medie inter intllectuales  et morales sunt uirtutes existentes in intlłupͣtico.  ut prudencia  et alie uirtutes s̾ anexe.  prudencia autem s comentatorem sr̾ libꝰ ethoc media enim inter u̾ tutes morales  et intllectuales.  computas tnon potest cum u̾tutibus moralibus. Naz prudentia non in est ner hominibus boins.  sicut nec uirtutes morales. p̃ui e̾ hominies 
et si possunt esse scientes,  astuti, et versipelles; 	et si possent esse scientes hastuti  et unsipelles 	et sipossent esse scientes astuti cem scientes astuti i xsipelles etuersi pelles. 	et si possunt esse scienres astuti ⁊ uersipelles. 	si pñt esse sciẽtes astuti & uersipelles. 	et si possent esse scientes. hastuti  et u̾si pelles prudentes 	et si possit ee scientes astuti  et uersipelles prudentestamen 	et si possent ce scientes hastuti etu̾sipelles. 
prudentes tamen esse non possunt, 	pru:dentes tamen esse non 	prudentes tnon  esse non possunt 	prudentes tamen esse non possinit 	Prudentes tamen esse non possant 	tum esse non possunt 	esse non possunt 	prudentes tnon esse non 
ut suo loco patebit. 	possunt.ut loco suo patebit. 	ut suo locopatebit. 	ut suo los copatebit. 	ut suo loco patebit. 	ut suo loco patebit. 	ut suo loco patebit. 	p̾sunt.ut suo loco patebit. 
Inde est ergo quod dicitur 6 Ethic’  quod impossibile est prudentem esse non existentem bonum.  Dimissis ergo virtutibus huiusmodi intellectualibus, 	Inde estergo qd dicitur.uiͦ. ethicorumquem in possibile enim prudenter bonum Omissis igituruirtutibus intllectualibus. 	Inde enim gͦ quem d̃r .ui. echoc.  quem inpol ͤ est prudentem esse non entem dem bonum ¶ Dimissis gni  mnͣ-tutibus intellectualibus 	Inde est ergo quod dicitut .ui. ethi⁊corum ꝙ impossibile est prudentem esse non erñrem bonũ. ¶ Dimissis ergo uirtutibꝰ buiusmodi initellectualibus: 	Inde est ergo quod dicitur.℥.ethi'corum ꝙ impossibile est prudentemesse nõ exñtem  bonũ.¶Dimissis ergo uirtutibus huiusmõi intellectua 	Inde engᷤ quem dicitur .uiͦ.  ethoc.quem imperp ᷝ ͤ enim pͥdentem esse non enten bonum U¶ Omissis gni uirtutibus intellectumalibi 	Inde est ergo  quem dicitur sexto ethiz  quem impossibile est prudentem  non entem homuin¶ Dimisfis igitur uirtutes intellectuales 	inder en gͦ quem dr̾.ui. ethoc.  quem impͥo. enim prudentem esse non entem bonum ¶Dimissis gͦ uirtutibus intllectualibus 
ut dimissis scientiis speculatiuis,  de prudentia,  et de virtutibus moralibus est tractandum. Suscepimus enim (ut pluries diximus)  praesens opus,  non ut sciamus,  sed ut boni fiamus:  quae bonitas,  sine prudentia et virtutibus moralibus,  nobis in esse non potest. Has autem virtutes,  in intellectu, et appetitu sic esse contingit. Dictum est enim,  virtutem esse aliquid  secundum rationem:  oportet ergo esse rationalem potentiam, in qua potest esse virtus.  Rationale autem duplex est secundum Philosophum,  per essentiam,  et per participationem.  Intellectus autem est rationalis per essentiam.  Appetitus vero per participationem.  Nam appetitus licet non sit ipse intellectus,  vel ipsa ratio essentialiter,  dicitur tamen participare rationem,  quia est aptus natus rationi obedire. Potentiae autem naturales, et sensus,  nec sunt rationales per essentiam, 	et dimissis scienciis speculatiuis.  de prudencia  et uurtutibus moralibunem tractandum Incepimus enin  ut pł̾ies diximus presens opus non ut sciamus.  set  ut bonisiamus que bonitas sine prudentia  et iurtutibus moralibus nb̃ in esse non poteret has autem uirtutes  imtlłt:tu appetitu.  Sic esse contingit.  Uictum enim enin uirtutem esse aliquid scd̃m ronnem. opportet ergo esse racionalem potenciam in qua ponitin ce  untus.racionale autere duplx enim scd̃mphoc̃m. per essenciam  et partitipationem Intllectus autem enim ronnalis pereentiam. Appetitus uero per  participacione.Nam appetitus licet non sit ille intllectus uel ipsa racio essentialiter/  diciter  tamen participare ronnon  quia enaptus natus ronni obedire. Potencie autem naturales sensus.  nec sunt ronuales per eenciam 	et dimissis sciis specłatiuis de pͤdencia  et deuirtutibus moralibus em tͣctandum Suscepimus nut płies diximus p̃sens opos  ut non sciamus s  ut boni fiamus que bointas sine prudencia  et uirtutibus moralibus nob̃ inesse non potest has autem uirtutesinintellectu et appetitu sic esse contingit dcm enim .n.  uirtutem essea ͥd ẜin  rationem  o gͦ esse ronnalenpoͣm  in qua ponitur esse uirtus.ronnale autem duplex enim scd̃mphoc̃m pereenͣciam  et per participationem intllectus autem enim ronalis per essenciam appetitus ueroper participationem.  Nam appetitus licet non sit ipse intlłetus uelipsa ratio eenͣliter dr tnon participare ratione quare enim aptus nantus roniobedire. po ͤ autem nec ales 	ut dimissis scientiis speculatiuis:  de prudentia: ⁊ de yirtutibus. moralibus est tractandum. Suscepimus enimut pluries dicimus presens opus non ut sciamus  sed ut boni fiamus:  que bonitas sine prudentia ⁊ yirtutibus moralibus nobis inesse ñꝑotest ¶  Has auteni uirtutes in inrellectu ⁊appetitu sic esse coutingit dictum est enim uit tutem esse aliquid scd̃m rationem:  oportet et-go esse rationalem potentiam  in qua potest eẽuirtus.  Rationale autem duplex est sed̾m philosophum  per essentiam ⁊ per participationez Intellectus aurem est rationalis per essentiaz Appetitus uero per participationem:  nam apperitus  licet non sit ipse intellectus uel ĩpsa ratio essentialiter. dicitur  tamen participare  rastionem:quia est aptus natus rationi obedire. Porentie autem naturales ⁊ sensus:  nec sunttationales pen essentiam 	libus:ut dimissis sentẽtiis speculatiuis:  de prudẽtia &  de uirtutibꝰ moralibus est tractandum. Suscepimus.n.  ut pluries diximus praesens opus nõ  ut  scia'mus:sed ut bonĩ fiãus  qua bonĩtas sine prudẽtia & uirtutibꝰ moralibꝰ nobis ĩnesse nõ potest.  ¶ Has autẽ uirtutes in intellectu & appetitu sic esse contingit.Dictum est.n.uirtutem esse aliquid em  rationem:oportet ergo esse rõnalem potentiam  in qua potestesse uirtus. Rõnale autẽ duplex est secundũphilosophum per eẽntiã & per participationẽ. Intellectus autẽ est rõnalis ꝑer eẽntiar.  Appetitus uero per  participatiõem:nam appetitus licet nõ sit ĩpse intellectus uel ipsa tatio eẽntialiter. dicitur tamen participare rationẽ:  quia est aptus natus rationi obedire. Potẽtia autem naturales &  sensuo:nec sunt tõnales per essentiam 	et diumissis scus specłatiuis.  de prudentia  et de uͥtutibus moralibus esse tͣctander. Suscepimodon ut płies diximus opos  ut non sciamus.  niut boni fiamus.  que bouitas sum pͥdenͣ etuntutibi moralibus  nob̾  inesse  non potest has autemuirtutes inintellectu et appetitu sic esse ꝯtmngit. dcm̃ enim .n.  uirtutem esse ad ẜ ronem. or gniesse rationalem poͣm in qͣ pouit esse uirtus. Ronale as dupłt enim ẜ phocm. per essentiam et per participationem.  Intellectus a est rationalem per essentiam.  appetitus uo per participationem.  Nam appetitus lici non sit ipse intellectus  uel ipsa ratio essenͣlr̃. diciturtum participare ratione quare enim aptus natus rationi obe et dire. po ͤ autem nͣles  et sensus nec sunt rationales pereemur quare non ipsa ratio sunt nec ratione participant 	et saienciis speculatiuis  De prudencia  et de uirtutibus inoralibus est trattandum Suscepmius enm  ut pluries diximus presens opus non ut sciamus szut boinfiamus que honitas sineprudentia  et sine uirtutibz moralibus nobis Iuesse non potest.  has autem uirtates intellectu  et appetitu sicesse contingit dictum est enm uirtutem esse aliquid̃ sgz ronnenoportet ergo ronnalem potenciam in qua pomitur esse uirtus.  Lacionale autem dupplex est ss phm̃ per essentiam  et per participationem Intellectus auten ronnal est per essentiam Ꝙz appetitucz est ronnalis per participationem Nam apetitus  licet non sit intellectus siue ipam ratio essencialit dicitur tnon participare ronnem  quare est aytusznatus racioni obedire.  Idotentie autem nales  et sensus  nec sintt ronnales per essetiam 	et dimissis scienciis specłatins.  der prudentia  etder uirtutibus moralibus en tͣctander. Suscepimus eͥ ut płies dixi᷒ pnons op᷒  ut non sciamur. s ut boni fiamus. que bointas  sine prudentia etuntutibus moralibus nob in esse non  pot̃.has autem uirtutes in intlłu  et appetitu esse ꝯt̃igit.denm enim eͥ uirtutem esse aͥd s roem. gͦ esse poͣ  rationalez.inque ponitur esse uirtur.  rationale a der enim ẜm phocm per essentian  et per participationem.  intellectus ant enim rationalem per essenciam. appetiter non per participationem.  Nam appetiter licet non sit ipse intellectus  uel ipsa ron eencialiter. dicitur tnon participare ratione quare enim appetitus nat᷒ rationi obedire. potencie autem nanles  et sensus  non sunt naturales per enenam. 
quia non sunt ipsa ratio:  nec ratione participant, 	quia non ipsa ratio sunt nec ronne participant. 	et sensus fi st̃ ronnales per eenonciam quare non ipsa ratio st̃ nec rone participant 	quia nõ sunt ipsa ratio:  nec ratione participant 	quia non sunt ipla ratiornec ratiõe participãt: 	quare per se et ẜ 	quare non sunt ipam racio nec ronnem participant quare per se nec ssz 	quare non iparon sunt.  nec ratione participant. 
quia per se,  et secundum quod huiusmodi non obediunt rationi. Igitur in sensibus,  et in potentiis naturalibus 	quia per se scderm  quem hius non obediunt rationi igitur in potencus  et in sensibus naturalibus. 	quare per se et scd̃ quem huius non obediunt ronni. Igitur insensibus  et inpotenciis nalibus 	quia per se ⁊ scd̾mquod huiusmodi non obediunt rationi. Igitin sensibus ⁊ in potentiis natura libus 	quia per se & secũdũ  quod hmõi non obediunt rationĩ.Igitin sensibus & in potentiis naturalibus ut su'pra dicebat᷑ non habent esse 	quem hius.  non obediunt rationi igit in sensibi et in po ᷤ nͣlibus 	quem himusmoin  non obediunt rationem Igitur in sensibz  et in potenciis naturalibus 	quare parse et ẜ quem huius non obediunt rationi Igͣ insensibus  et in potencus 
(ut supra dicebatur)  non habent esse virtutes, 	ut supra dicebatur.  non hocnt esseuirtutes. 	ut supͣ dicebatur non habent ene uirtutes s solum esse habent in intellectu etappetitu. 	ut fupra dicebatur  non habent esse uirtuites: 	uirtutes:sed solum esse habent 	ut supͣ dicebatur  non habent esse uirtutes 	ut supra dictum est non habent esseuirtutes sz solum habent esse in appetitu et intellectu. In 	naturalibus.ut supradicebatur non habent esse uirtutes. 
sed solum esse habent in intellectu, et appetitu. In nobis autem duplex est appetitus,  intellectiuus, 	set solum esse h̾nt in miłsctu.  In nobis autem duphocx enim appetitus naturalis 	In nonb autem duplex est appetitus intellectiuus 	sed solum esse habent in intellectu ⁊ appetiris ue In nobis autem duplex est appetitus. intellectiuus ⁊ 	in intellectu & appetitu. 	si solum essehunt inmallcum tappetitu. 	no-bis autem dupplex est appetitus scilicet intellectinus 	s solum esse habent in intlłuet appetitu.  In noƀ autem dup̽ en appetitur intllectiu᷒ 
