2_1_1607	BNF_Arsenal_5062	BNF_Français_24-233	Valladolid_Ms_251	BNE_INC_1923	AH_CD_160	BML_Plut_89_sup_116	BNF_Français_1203	BC_Ms_739
Postquam auxiliante Deo compleuimus  primam partem huius primi libri,  in quo agitur de regimine sui, 	Pres que par laide de dieu auons acompli la premiere partie de ce liure  ou quel traicte du regime de soy mesmeᷤ demonstrans 	Uis qe nous auõs enseigne alaided̃ dieu enla primiere partie d̃ ce uure 	dios acabamos la ṕm̾a parte deste libro ṕmero en q̃ seẗcta dł gou̾namiẽto dł om̃e enssi/. 	Jiançant la aiuda diui¬na hauez a¬cabada la p̾mera ꝑt de aq̃st primer libre. Lo q̃l tracta ḋl regimẽt de si¬mateix mo¬strant 	Iiençant la aĩuda diuina hauem acabada la primera part de aquest primer libre.  lo qual tracta del regiment de simateix 	A ꝑui chenoi auiamo iuseguiato a laude didio nella prima ꝑte di questo liro 		Epus q̃ deus auidãt hauẽ cõplida la pͥmã ꝑtida da q̃st pͥmer libre  en lo qͥl es tractar del uirtuts. 
ostendentes in quo Reges et Principes  suam felicitatem debeant ponere, 	en quoy les rois et princes doiuẽt mettreleur felicite 	q̃les Rois ⁊ les prĩces sont beneuurez 	Et mostmos en q̃ deuẽ poner los Reyes ⁊ los ṕnçipes la su feliçidat ⁊ la su biẽ andãça/. 	en que los Reys e Princeps deuen posar sa felicitat. 	mostrãt en q̃ los Reys e Princeps deuen posar sa felicitat. 	che li Re elli principi sono ingraçia 		regimẽt desimatex demostrãt en qͣ̈l cosa los Reys els pͥnceps degen posar la sua benauẽturança. 
quia non decet  eos suum finem ponere in diuitiis,  nec in ciuili potentia,  nec in aliquibus talibus,  sed omnibus his  (ut supra plenius probabatur)  debent  uti tanquam organis ad felicitatem. 	car il ne doiuent pas mettre leur fin en richesses ne en ciuile puissance ne en autres telles choses.  mais comme dauantest prouue plus plainemẽt ilz doiuẽt user de toutes ces choses  aussi cõme des orgãnes ou instrumẽs a leur felicite acqueire 	qãt il aimẽt dieu. ⁊ pour lamoͬrd̃dieu. sicome bons serganz ⁊ leausil tendent agouu̾nez sagem̃t le pueple selonc loy ⁊ raison. 	Et q̃ nõ les cõuiene poner la su fin en riq̃zas nĩ en poderio ciuil nĩ  en miugũas oẗs cosas corporales nĩ tẽporals̃ Mas assi cõmo ꝓuamos cõplida mẽte desuso deuẽ husar de todas estas cosas  assi cõmo de instrumẽtos ꝑa ganar la feliçidat ⁊ la biẽ andãça. 	Car no la deuẽ posar en riq̃sas  ne en potẽcia ciuil  ne en altras cosas tals.  ans de aquellas segons damũt es prouat' deuen usar  com de instruments a 	Car no la ḋuen posar en riquesas  ne en ꝑotẽcia ciuilne en altras cosas tals.  ans de aquellas segons damunt es prouat deuen xsar  com de instruments a felicitat. 	quando eglino amano dio. 	uis sunt. cocco 	Quar nos ꝑtãy dells posar la sua  si en riq̃hes ne enpotencia ciuil/  ne en alc̾s coses aytals ans de cots coses aytals segons q̃ damũt era ꝓuat deuẽ usar axi cõ dorgues o de instrumens abenauẽturanca/ 
Suam autem felicitatem ponere debent  in actu prudentiae, 	mais doiuẽtmettre felicite ou fait de prudence cõmande de chante		Mas la su bienandança deuẽ poner en obras de p̈dençia⁊ de sabiduria segũd 	felicitat.Mas la sua felicitat deuen posar en obra de prudencia segonses manada per caritat. 	Mas la sua felicitat deue posar en obra de prudencia 	Eꝑ lamore didio 		Mas la sua benauẽturãça deuẽ posar en fer o en obra deprudẽcia 
prout talis actus est imperatus a charitate:  nam tunc Reges habent felicitatem suo statui debitam,  et condignam,  quando instigante Dei dilectione  secundum prudentiam regitiuam,  gentem sibi commissam secundum legem,  et rationem sancte, et iuste regant.  Principaliter ergo Regum felicitas ponenda est in ipso Deo,  et ex cognitione et dilectione eius studium suum,  et vitam suam ad hoc ordinare debet,  ut cognoscentes, et diligentes Deum,  tanquam veri ministri eius  secundum ordinem rationis dirigant Populum sibi commissum.  His ergo itaque peractis,  et ostenso in quo Reges ponere debeant  suum finem  secundum ordinem superius praetaxatum,  restat ostendere  quibus virtutibus Reges pollere debeant.  Virtutes autem quaedam sunt quidam ornatus,  et quaedam perfectiones animae. 	car adoncq̃sont les roys felicite deue  et condigne a leur estat  quãt eulx emeuz de lamour de dieu gouuernẽt la gent a eulx cõmise selon prudẽce et selon la loy et raison saintemẽt et iustemẽt.  doncques principalemẽt en dieu doit estre mise la felicite des roys et eulx meuz de la congnoissance et amour de dieu leur estude et leur uie doiuẽt ordõneza  ce que en congnoissant et aymẽt dieu.  aussi cõme ses uraiz mĩstresilz puissent gouuerner le peuple a eulx cõmis selon lordre de raison  Ces choses doncques dauãt mises et monstre  en quoy le roy doit mettre sa fin.  Reste maintenãt demonstrez selon lordre dauãt notee  quelles uertuz les roys doiuẽt auoir.  Et pourtant que les uertuz sõtornemẽt et ꝑfection de lame 	Nous dirons qeles u̾tuz les Rois ales prĩceᷤᷤdouuẽt auoir.  Et porce q̃ les u̾tuc:  font laimue perfaite.  ¶Il conuẽt. pͥmieremẽ sauoir  qantes puissãces lame.a. q es q̃les les u̾tu d̃bounes euures doiuent estre. ⁊  ap̃s nous dirons  cõmẽt ⟦len⟧ len doit deuu̾it lesu̾ruz de bounes euures ⁊ 	q̃ tales ob̈s son regladas  por caridat ⁊  por el amor de dios  Ca estonçe hã los Reyes ⁊ los ṕncipes la su feliçidit ⁊ la su felicidat biẽ  andança q̈l deuẽ auer ⁊ q̈l ꝑtenesce asu estado q̈ndo  ellos cõ el ayuda de dios  ⁊con el amor de dios segũd la sabiduria dł gou̾namiẽto gouernã las sus̃gẽtes ⁊ los sus pueblos q̃ les son acomẽdados scã mẽte ⁊ derechurera mẽte segũt ley ⁊ segũt razõ /.  Et pues q̃assi es ṕnçipal mẽte la feliçidat ⁊ la biẽ andança dłos Reyes ⁊ dłos ṕnçipeses de poner en solo dios /.  Ca deuẽ ellos ordenar la su uida ⁊ el su estada a esto q̃ por conosçimiẽto ⁊  por amor de dios conosçiẽdol ⁊ amãdol assi cõmo oficiales u̾daderos suyos enderescẽ ⁊ guyẽ el pueblo q̃ les es acomẽdado segũd orden de razõ ⁊ de entẽdimiẽto/ Et pues q̃  assi es estas cosas todas  assi acabadas ⁊ demosẗdo en q̈l cosa han los Reyes ⁊ los ṕnçipes  de poner su fin segũd la orden ya dicha ⁊ assignada finca nos de demostrar enq̈les útudes deuẽ  resplandesçer los Reyes ⁊ los ṕnçipes/.  Ca las útudes son unos hornamẽtos ⁊ cõponimiẽtos ⁊ hunas ꝑfectiones q̃ fazẽ acabada el alma/. 	car lauors los Reys han felicitat condigna ason  stat:quant instigant la amor di¬uina segons prudẽcia regitiua leye rao regexen lo poble  quils es co¬manat sanctament e iusta:  segons damunt hauem dit.  Donchs principalment felicitat deu esser posada en  deu.coes que per conaxença e dileccio ḋaq̃ll lo seu studi e uida deuẽ ordenar a amar  e coneixer deu e cõa u̾taders ministres  seus:segons or de de rao regescã lo poble quils es  comanat.¶Aquestas cosas axi cõ¬plidas e mostrat en que los Reys deuen posar la sua felicitat,  segonsdamunt es posat en lo capitol tercResta  a mostrar de quals uirtuts deuen esser ornats.  Car las u̾tuts son alguns ornamẽts e ꝑfeccions dela 	segons es manada per caritat.  car lauors los Reys han felicitat condigna a son  stat:quant in¬stigant la amor diuina segons prudencia regitius  ley:ereo regexen lo poble quils es comanat sanctament  e iusta segõsdamunt bauem dit.  Donchs principalment felicitat deu es¬ler posada en  deu.ço es que per conaxença e dileccio de aq̃lllo leu studi e xida deuen ordenar a amar  e coneixer deu  e coa utaders ministres seꝰ segõs orde de rao regescan lo  poble.did.  quils es  comanat.¶ Aquestas cosas axi cõplidas e mostraten  que los Reys deuen posar la sua felicitatsegons  damũtes posat en lo capitol  ferç:resta a mostrar de quals xirtuts deuen esser ornats.  Car las xirtuts son alguns ornamentse perfeccĩons dela 	sichome buoni sergienti e leaglieglio attendono aghouernare samamẽte lopoplo sicondo leggie eragione.  Noi diremo  che uirtu li Re elli principi de bono auere  Et imꝑo chele uirtu fano lanima ꝑfetta.  Econuiene p̾meramente sapere  quante potençe lamina a  e chomelouirtu delle buone huopredebono essare fatte.  Et ap̃sso noi diremo  chomesi de diuisare le uirtu delle buone huopre  e quante ne sonno. 	que nous coco. auons enseignie a laide de dieuen la p̾miere partie de ce liure q̃les rois ⁊ les pͥnces sunt beneurez  quant il aimẽt dieu. ⁊ pour la mor de dieu.  si cõme bons serganz ⁊ leaus ⁊l entendent agouu̾ner sagement le pueple selonc loy ⁊ raison.  Nous dirons q̃les uertuz les rois ⁊ les princes doiuent auoir.  Et pour ce que les n̾tuz font la me ꝑfaite.  ¶Il couient p̾mierement sauoir qnͣtes poissances la me a. ⁊esqueles les u̾tus de bones euures domient estre ⁊ ap̾snous dirons 	o desauieasegons q̃ tal fer oral obra es manada ꝑ caritat/  Quar lauos los Reys han benauẽturãca deguda  e cõdigͤal lur estament  quan ells ꝑ instigacio dela amor de deusegõs sauiea  o segõs pruden̾cia regitiua esegons ley  e segons raho regexẽ lagent quils ͤ comanada santamẽt eiustament.  Donq̃s pͥncipalment la benauenturança dels Reys deu esser posada en deu axi q̃  per couexença e ꝑ dilectio dell lur estudi  e lur uida studien ordonar a aço q̃ ells conexent  e amant deu axi cõ au̾rades ministres o au̾tades ẜutdos seus segõs orde de raho endreçen o regesq̃n lo poble qͥls comanar/ aq̃stes coses donq̃s axi cõplides/.  E de mostrar en qual cosa los Reys deuen posar la sua  si segõs lorde damũt posat en lo.c.iii. Roman a demostrar de quals uirtuts los Reys degen resplendir  quar les uirtuts son algũ ornament 
Oportet ergo prius ostendere,  quot sunt potentiae animae,  et in quibus potentiis habent esse virtutes.  Consequenter autem manifestabitur,  quomodo virtutes sunt distinguendae.  Postea vero ostendemus,  quot sunt numero huiusmodi virtutes,  et quae illarum sunt principales,  et secundariae. 	il cõuient premieremnẽt demonstrez  quãtes sont les puissances de lame  et es quelles sont les uertuz.  Et consequẽtemẽt sera declaire  cõmẽt les uertuz sont distinguees ¶  Apres demonsteron  quantes sont ces uertuz en nombre  et les quelles sontprincipales 	qñtes il en soit.  ⟦Et⟧  Et ap̃s nous. dirons de chascune q̃le.ẽ. 	Pues q̃ assi es cõuiene mosẗr ṕmero  q̈ntos son los pod̾ios dł alma  Et en q̈les pod̾ios han de seer las útudes/.  Et despues desto mosẗremos en q̈lman̾a se departẽ las útudes/.  Et del pues desto mosẗremos q̈ntas son  por cuẽto çierto estas útudes/.  Et q̈les dellas son ṕnçipeles/.  Et q̈les segũdarias/. 	aĩa.Primeramẽt dõchs es necessa¬ ri mostrar q̃ntas sõ las potẽcias de la aĩa  e en quals potẽcias hã aesser las  u̾tuts.Segonament sera dit cõ deuen esser distinctas las uirtuts.  Tercament mostrarem quãtas son per nombre aq̃stas  uirtuts.e qualsson principals e menys principals Quartamẽt 	anĩma.Primerament donchs es necessari mostrar  quantas son las potencias dela anima.  e en qualspotẽcias han acsser las  uirtuts.Se gonamẽt sera dit:  cõduẽesser distinctas las xirtuts. Terçament mostrarẽ quãtas son per nombre aquestas  xirtus.e quals son principals e meys prĩcipals. Quartamẽt 	Epoi noi diremo di craschuna  quale ella e etchome li Rs elli principi debono auere tale uirtu.  Et diremo le  quale sonno pui principale dellaltre. 	coment len doit deuit̾les u̾tuz de bones euures. ⁊ qnͣtesil en sont.  et qpͥs nous dirons de chaucune 	e algunes ꝑfeccions dela aĩa ¶Pͥmerament donques coue a demostrar quãtes son les potẽcies dela aĩa e en qͣls potẽcies han ꝑsser les uirtuts/  Empero ap̾s sera maĩfestat en qͣl manera les uirtuts deuẽ eẽr deꝑtides/ ¶Enapͥs nos demostrarẽ quãtes son per nõbre aq̃stes uirtuts¶S quals da quells son pͥncipals  e qualsson secundaries o meỹs pͥncipals 
Deinde autem declarabitur singulariter,  quae sit unaquaeque illarum virtutum,  et quomodo decet Reges,  et Principes tales virtutes habere.  Potentiae autem animae sic distingui possunt, 	et les quelles sont apres. finablemẽt sera declaux dunechime uẽrtuz singulieremẽt  et cõment les roys et princes doiuẽt auoirtelles uertuz.  Les puissances de lame peust ainsi estre distinguees 	Et comẽt les Rois ⁊li prĩce doiuẽt auoir teles u̾tu. ⁊ dirõsles qeles sũt plus principaus des autres.  ¶Dont len doit sauoir 	Et ala postremeria declararemos espeçial mẽte q̈l es cada una de estas utudes/.  Et en q̈l man̾a cõuiene alos Reyes ⁊ alos ṕnçipes de auer estas útudes  ¶pues q̃ assi es los pod̾ios dł alma se puedẽ assi departir 	e derrera sera declarat en special q̃l  es cascuna de aquellasu̾tuts e com los reys e p̾nceps deuẽ hauer tals  u̾tuts.¶La p̾mera q̃ es necessari mostrar 	e derrera sera declarat enspecial  qual es cascuna de aquellas uirtuts  e cõ los Reys e. Princeps õuen hauer tals  xirtuts.¶La pͥmera q̃ es necesfari moitrar quãtas  sõ las potẽcias ḋla aĩa axis proua.  Las potẽcias podẽ esser distĩctas en quatre moñras 	Donde luomo de sapere  che lauima sia .iiii. manie¬re di potencie. 	que le ele est. 	E finalmẽt sera declarat en especial q̃l  sia q̃scuna daq̃lls uirtuts  E enqͣl mana̾ se ꝑtaỹ dels Reys e dels pͥnceps hau̾ tals  uirturs¶Les potencies dela aĩa poden esser deꝑtides en aq̃sta 
quia potentiae animae quaedam sunt naturales,  quaedam cognitiuae sensitiuae, 	carles unes sont natureles. les autres cognitiues ⁊ sencitiues. aulcunes appetitiues et les autres intellectiues. 	qe la uinc.a.iii. maineres d̾ poissance. Leᷤunes sũt natureles 	ca alguõs destos poderios dł alma sõnat᷑ales  ⁊ alguos son pod̾ios senssitiuos conosçedores/. 	quantas son las potẽcias dela aĩa axis proua.  Las potẽcias poden esser distinctas en quatre maneras. Car algunas son naturals:  altras cognitiuas  sensitiuas.altras uoluntarias. 	car algunas son naturals altras cognitiuas sensitiuas altras xoluntarias. 			man̾a¶Quar algunes sõ nãls ¶Algunes cog̾tiues o conexedores sensitiues 
quaedam appetitiuae,  et quaedam intellectiuae.  Naturales potentiae sunt illae,  in quibus communicamus cum vegetabilibus, et plantis, 	Les puissances naturelles sont celles  qui sont cõmunes a nous et aux plantez uegetables 	si come lau̾tu q̃acroist. ⁊ la u̾tu qiengendre.  ¶Lesautres puissances d̾ lame sũt conuissans 	Et algũos desseadores ⁊ algũõs intellectiuos ⁊  entẽdedores ¶Nat᷑ales pod̾ios son aq̃llos en los q̈les partiçipamos cõ los arboles ⁊ con las plantas ⁊ cõ todas las cosas q̃cresçẽ en la trm. 	altras  in¬tellectuals.¶Las potencias naturals son aquellas  en las quals participam ab las cosas uegetablas:  co¬es ab las 	altras  in¬tellectuals.¶Las potencias naturals son aquellas  en las quals participam ab las cosas xegetablas.  ço es ab las plãtas. 	⟦Luuqͥ soeͣ naturale fich⟧. 		¶Alguñsappetitiues o uolũtaries/  E alt̾s entellectuals ¶les potẽcies n̾als son aq̃lls en les qͣls nos ꝑtiçipã  ab les coses qui han uida  e ab les plantes 
ut potentia nutritiua, augmentatiua, generatiua,  et talia quae etiam ipsis arboribus competunt. 	cõe est la puissance neutritiue augmentatiue et cõuantiue les q̃lles cõpetent a nous et aussi aux arbres et aux herbes 	si come laueue. 	Assi cõmo son pod̾io de ćar ⁊ de acresçẽtar ⁊ de engẽdrar ⁊los q̈les ꝑtenesçen tã biẽ alos arboles⁊ alas plãtas cõmo anos 	plantas.axicom es potẽ¬ cia nutritiua.generatiua.e augmẽtatiua: las quals conuenan als 	axicõ es potencia nutritiua generatiua e aumẽtatiua las quals conuenan als 			axicõ es potẽcia nucͥtiua/ crescitiua  e gen̾atiua eles alt̾s aurals qͥaximatex couenen als arbres 
	que on appelle plãtes uẽgetables. 							
Potentiae vero cognitiuae sensitiuae,  sunt visus, gustus, auditus, et talia,  in quibus communicamus cum brutis.  Appetitiuae vero distinguuntur:  nam quidam appetitus est in homine,  in quo non communicat cum brutis, ut est appetitus sequens intellectum:  quidam vero in quo communicat cum eis,  ut appetitus sequens sensum.  Appetitus autem sequens sensum potest  nominari sensualitas:  sequens intellectum nominatur voluntas: 	mais les puissances cognitiues sencitiues sont celles  par quoy nous cognoisson les choses corporelles  comme est la ueue legoust et le atouchement et telles choses  les quelles sont cõmunes a nous et es bestes brutes ¶  Les puissances appetitiues sont partiz en deux.  car en homme est ung appetit  qui nest pas es bestes brutez cest la petit  qui ensuit lentendement.  Et homme ha ung aultre appetit  qui est cõmun a lur  et aussi es bestes cest la petit  qui ensuit le sens corporel  et peust estre nõme sensualite.  Et lautre apetit  qui ensuit lentendemẽta nom uolente. 	¶Le goust⁊ latochemãt ales autres sens del home.  ¶Une autre poissãce d̾ laume.  Si ẽ qen apelle lentendim̃t.  ¶Les autres possances d̾lame sõt. dites poissances qi d̾sirẽt.  Dont lunssi est nomee uolente 	¶Mas los poderios conosçedores dłõs sesos son  assi cõmo el uiso ⁊ el oyimẽto ⁊ el gusto ⁊el odoramẽto ⁊ el tãnimiẽto/ o el ueer⁊ el oyr ⁊ el gostar ⁊ el oler ⁊ el tãner  Et estos tales son comunes tan bien alas bestias cõmo anos/  ¶Mas los poderios desseadores se deꝑten en esta guisa/.  Ca algũo dłłos es ꝓpio al om̃e eñl q̈l nõ partiçipa con las bestias/.  assi cõmo es el appetito q̃ sigue al entẽdimiẽto/.  Et alguõs son comunes tan biẽ alas bestias cõmo alos om̃s  assi cõmo el appetito q̃ sigue alos sesos  Mas el desseo ⁊ el appetito q̃ sigue al seso es llamado sensualidat/.  Et el appetito q̃ sigue al entẽdimiẽto es llamãdo uolũtad/. 	ar¬bres.¶Las potencias cognitiuas sensitiuas son la uista.  gustar. tast. toche las altres  tals:en las qualsparticipam ab las bestias brutals.  ¶Las potencias appetitiuas son distinctas. Car algun appetit es en home  en lo qual no participam ablas bestias  brutals.axicom lo appetit intellectiu.  Altre es  ab lo qual participam ab ellas.  axicom sensi¬tiu.  Lo appetit sensitiu pot esser appellat sensualitate lo intellectiu 	arbres.¶Las potẽcias cognitiuas sensitiuas son la xista gustar tast toch e las altrs tals.  en las quals participã ab las bestias  brutals.¶ Las potẽcias ap¬petitiuas son distinctas.  Car algun appetit es en home  enlo qual no participam ab las bestĩas brutals.  axicõlo appetitintellectiu.  altre es  ab lo qual participam ab ellas.axicõsensitiu. Lo appetit sensitiu pot esser aꝑpellat sensualitat.  e lo ĩtellectiu xoluntat. 	Lune sonno naturagli si chome la uirtuche notriscie. ella uirtu  cho acrescie. ela uirtu  che ingenera . Laltre potençie delamma sono coquoscienti.  Sichome el uedere il ghustare	Et comẽtli roi ⁊ li pͥnce douient auoir telesu̾tus . ⁊ dirons les queles sunt plꝰpͥncipaus des autres. ¶ 	¶Mas les potencies conexedor̃s sensitiues son la uista  lo gustar ol tascar lo tochar  e les altres ayrals  en los quals nos comunament ꝑticipã ab les besties brutals ¶Mas les potencies appetiues o uolenteroses son deꝑtides/.  Quar algũ appetimẽt o alguna uoluntat es en hõ  en lo qͣl ell no ꝑticipa  ab les besties  brutals/ 
secundum quem modum loquendi bruta habent sensualitatem,  et appetitum sensitiuum,  sed non habent voluntatem, et intellectum.  Virtutes ergo,  de quibus loqui intendimus, 	Eelon la quelle maniere de parler les bestes brutez ont sensualite et apetit sensitif.  mais ilz nonst mye uolente  qui est apetit intellectuel.  Donc les uertuz  dont nous entendon parler 	qi est desir delentendimẽt. ⁊ lautͣeͣ.ẽ. dite desir.v.sens delhome.  ¶Et poons ꝓuer pai.iii.raisons q̃ les uertus d̾ bounes euures	Segũd esta man̾a de fablar las bestias han senssualidat et appetitosenssitiuo.  Mas nõ han  uoluntadparte..laSegunda nĩ appetito q̃ sigua al entẽdimiẽto Et pues q̃  assi es las útudes de q̃ aq́auemos de fablar 	uoluntat.Segons la qual manera de parlar las bestias brutals han sensualitat o appetit sensitiu.  mas no han  uoluntat:coes appetit intellectiu.  Donchs las uirtuts delas quals entenem a parlar 	segõs la qual manera de parler las bestias brutals han sensualitat o appetit senlitiu.  mas no hã uoluntat.  çoes appetit intellectiu.  Tonchs las xirtuts celas quals entenem a parlarq̃ 	e lo tocchare eglialtasençi delluomo. 	Dont lendoit sauoir 	axi cõ es lappetumnent o la uoluntat q̃ seguer lenteniment  Mas algũ alcre es en lo qual ell ꝑticipa ab ells axi cõ  es lappetiment o lauolũtat 
quae sunt quidam habitus laudabiles,  vel erit in potentiis naturalibus,  vel in ipsis sensibus,  vel in appetitu sensitiuo,  vel in appetitu intellectiuo,  vel in ipso intellectu,  vel in omnibus his,  vel in aliquibus horum.  In potentiis autem naturalibus esse non possunt, 	lesquelles sõt habiz louables  ou ilz seront es puissances naturelles ou es puissãces sensitiues cogitiues ou en lapetit sensitif. ou en lapetit intellectif. ou en lentendement ou en toutes ces choses ou en aucunes delles.  Maises puissances naturelles ne peust il estre 	qe nous aqerons per acostomãces d̾biẽ faire ne sont pas es poissãces d̾ lame natureles ne es.v. sens del home. ¶Lapͣmiere raisõ si . ẽ. qar pour les u̾tuz des bounes euuͬeᷤlendoit loer lome  quãt ille sa ⁊ blaumez 	q̃ son unas uestiduras muy loables ⁊ much̃o hõrradaᷤᷤdł alma/oserã en las pod̾ios nat᷑ales/ o en los pod̾ios senssitiuos/o eñl appetito  senssitiuo/o eñl appetito intellectiuo q̃ es la  uolũtad/o eñl entẽdimiẽto  mismo/o en todos estos/  o en algũõs dellos/.  Mas q̃ en los pod̾ios nat᷑ales nõ pueden seer las útudes podemos lo ꝓuar 	que son al¬guns habits dignes de loar  o seran en las potencias naturals  o en lo appetit  sensitiu,o en lo appetit  in-tellectiu,o en lẽtenimẽt o en totas aquestas potencias o en alguna de aquellas.  En las potencias natu¬rals no poden esser: 	son alsgũs habits dignes de loaroserã  en las potẽcias naturals  o en lo appetit sensitiu.  oen lo appetit ĩtellectiu o en lentenimẽt:  o en totas aq̃sias potẽcias o en alguna ḋ aq̃llas.  En las potẽcias naturals no pode esser. 	¶Unaltra potença dellamina  e chesi chiama lontellecto: Lal.¬tre potençe dellanima sonno dette potençe desiderose. 	que lame. a .iii. manieres de puissances.  ¶Les mies sõtnature les.  Si cõme la u̾tu 	qui segueyx lo senycorꝑal pot eẽr appellat sensualitat/  En aq̃ll qui seguex lentenimẽt sia appellat uolũtat¶Segõs la qͣlmanera de parlar les besties brutals han sensualitat e appetimẽt sensitiu/  Mas no han uoluntat  co es assaber appetiment intellectiu ¶Donq̃s les uirtuts dels quals nos entenẽ aꝑlar  qui sõ alguns habits o concebimẽs dignes de lahor  o seran en les potẽcies n̾als/ o en les potençies sensitiues/ o enlappetiment sensitiu o en lappetiment incellectiu o en lentemment o entot̃s aq̃stes potẽcies o en algunes daq̃stes. En les potencies n̾als no poden eẽr 
